"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_PT10M_T2M","3660","2023-05-21T13:50:00","20.3","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T14:00:00","20.3","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T14:10:00","20.1","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T14:20:00","20.6","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T14:30:00","20.5","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T14:40:00","20.4","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T14:50:00","20.7","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T15:00:00","20.7","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T15:10:00","20.5","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T15:20:00","20.3","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T15:30:00","20.1","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T15:40:00","20.2","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T15:50:00","20.1","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T16:00:00","20.2","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T16:10:00","20.2","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T16:20:00","20.2","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T16:30:00","20.5","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T16:40:00","20.6","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T16:50:00","20","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T17:00:00","19.7","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T17:10:00","19.6","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T17:20:00","19.5","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T17:30:00","19.3","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T17:40:00","19.3","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T17:50:00","19.1","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T18:00:00","18.9","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T18:10:00","18.7","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T18:20:00","18.4","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T18:30:00","18.1","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T18:40:00","18.2","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T18:50:00","18","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T19:00:00","18","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T19:10:00","17.8","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T19:20:00","17.7","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T19:30:00","17.4","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T19:40:00","17","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T19:50:00","17.1","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T20:00:00","16.9","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T20:10:00","16.9","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T20:20:00","16.5","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T20:30:00","16.6","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T20:40:00","16.5","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T20:50:00","16.3","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T21:00:00","16.1","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T21:10:00","15.9","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T21:20:00","16","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T21:30:00","16","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T21:40:00","16","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T21:50:00","15.6","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T22:00:00","15.4","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T22:10:00","15.4","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T22:20:00","15.5","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T22:30:00","15.7","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T22:40:00","15.6","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T22:50:00","15.4","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T23:00:00","15.6","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T23:10:00","15.5","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T23:20:00","15.3","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T23:30:00","15.1","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T23:40:00","14.8","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T23:50:00","14.7","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T00:00:00","14.8","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T00:10:00","14.8","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T00:20:00","14.6","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T00:30:00","14.6","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T00:40:00","14.6","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T00:50:00","14.2","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T01:00:00","14.3","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T01:10:00","14.1","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T01:20:00","14","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T01:30:00","13.9","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T01:40:00","13.6","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T01:50:00","13.4","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T02:00:00","13.7","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T02:10:00","13.7","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T02:20:00","13.7","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T02:30:00","13.8","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T02:40:00","13.8","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T02:50:00","13.7","11","2",
